scenario,method,threads,indexing,mean_ops_s,ci_lower_ops_s,ci_upper_ops_s,cov_pct,forks,p50_ns,p90_ns,p99_ns,lat_ci_lower_ns,lat_ci_upper_ns,permit,deny
baseline,decideOnceBlocking,1,?,29820485.91,29325523.17,30315448.65,0.18,2,46,47,80,49.7,76.6,0,1
baseline,decideOnceBlocking,2,?,21196588.25,18679044.53,23714131.97,1.32,2,96,101,128,94.2,140.3,0,1
baseline,decideOnceBlocking,4,?,22711364.58,-1341674.47,46764403.63,11.79,2,189,309,430,210.4,222.1,0,1
baseline,decideOnceBlocking,8,?,24459355.41,8319951.21,40598759.62,7.34,2,337,520,673,356.6,367.3,0,1
hospital-1,decideOnceBlocking,1,?,4139974.69,3565207.09,4714742.29,1.55,2,228,316,557,254.6,311.8,138,362
hospital-1,decideOnceBlocking,2,?,7482722.36,4875410.25,10090034.47,3.88,2,286,386,618,324.5,350.5,138,362
hospital-1,decideOnceBlocking,4,?,14159904.84,9568675.79,18751133.88,3.61,2,298,401,626,338.2,359.5,138,362
hospital-1,decideOnceBlocking,8,?,23861272.22,14549261.39,33173283.04,4.34,2,342,452,654,385.6,402.9,138,362
hospital-100,decideOnceBlocking,1,?,3184876.29,1871744.17,4498008.42,4.59,2,273,508,852,351.3,397.3,83,417
hospital-100,decideOnceBlocking,2,?,5726698.56,5351081.37,6102315.75,0.73,2,314,501,740,363.1,388.9,83,417
hospital-100,decideOnceBlocking,4,?,11732489.27,10013474.13,13451504.40,1.63,2,415,610,824,462.7,478.9,83,417
hospital-100,decideOnceBlocking,8,?,21020046.81,17844130.90,24195962.72,1.68,2,378,571,797,441.1,453.3,83,417
hospital-300,decideOnceBlocking,1,?,2585139.50,2447929.82,2722349.18,0.59,2,334,664,1344,417.4,436.1,83,417
hospital-300,decideOnceBlocking,2,?,5152874.66,4096418.34,6209330.97,2.28,2,365,640,982,429.1,464.2,83,417
hospital-300,decideOnceBlocking,4,?,9943257.78,9666714.87,10219800.69,0.31,2,369,625,943,438.6,451.2,83,417
hospital-300,decideOnceBlocking,8,?,18692134.48,16742559.57,20641709.38,1.16,2,392,640,942,458.9,469.3,83,417
hospital-5,decideOnceBlocking,1,?,3974755.63,3595649.06,4353862.21,1.06,2,239,368,591,278.1,307.1,76,424
hospital-5,decideOnceBlocking,2,?,7219228.52,5941461.45,8496995.59,1.97,2,268,401,553,303.7,332.0,76,424
hospital-5,decideOnceBlocking,4,?,13579685.12,11228271.03,15931099.22,1.93,2,288,424,599,336.7,357.8,76,424
hospital-5,decideOnceBlocking,8,?,22302913.45,15908477.53,28697349.37,3.19,2,335,484,737,407.3,426.9,76,424
hospital-50,decideOnceBlocking,1,?,3329559.92,3314244.74,3344875.10,0.05,2,276,457,780,333.8,380.6,82,418
hospital-50,decideOnceBlocking,2,?,6547211.43,4918581.57,8175841.28,2.77,2,301,454,666,348.5,378.3,82,418
hospital-50,decideOnceBlocking,4,?,11871168.23,8941397.60,14800938.87,2.75,2,336,496,702,401.8,426.0,82,418
hospital-50,decideOnceBlocking,8,?,21623118.27,16710103.41,26536133.12,2.53,2,356,521,783,437.5,456.9,82,418
rbac,decideOnceBlocking,1,?,7152864.91,5757423.95,8548305.88,2.17,2,129,137,305,115.9,280.4,6,10
rbac,decideOnceBlocking,2,?,10989237.80,8240368.27,13738107.33,2.78,2,166,201,347,199.5,259.8,6,10
rbac,decideOnceBlocking,4,?,20037712.23,20009657.76,20065766.70,0.02,2,194,242,383,228.7,243.7,6,10
rbac,decideOnceBlocking,8,?,22751143.91,20598980.28,24903307.54,1.05,2,316,458,591,379.0,402.4,6,10
