scenario,method,threads,indexing,mean_ops_s,ci_lower_ops_s,ci_upper_ops_s,cov_pct,forks,p50_ns,p90_ns,p99_ns,lat_ci_lower_ns,lat_ci_upper_ns,permit,deny
baseline,decideOnceBlocking,1,native,9898007.10,9859054.32,9936959.88,0.04,2,100,103,186,113.8,115.1,,
baseline,decideOnceBlocking,2,native,12831940.80,11442490.15,14221391.45,1.21,2,148,187,229,169.0,170.4,,
baseline,decideOnceBlocking,4,native,20102564.85,19897537.66,20307592.04,0.11,2,160,215,307,185.9,187.0,,
baseline,decideOnceBlocking,8,native,21592546.00,21466682.91,21718409.09,0.06,2,278,447,707,324.8,326.2,,
hospital-1,decideOnceBlocking,1,native,1618888.60,1604445.69,1633331.51,0.10,2,532,704,1461,620.5,627.0,,
hospital-1,decideOnceBlocking,2,native,3014633.45,2918757.15,3110509.75,0.35,2,585,760,1405,669.2,674.2,,
hospital-1,decideOnceBlocking,4,native,5874716.95,5698130.87,6051303.03,0.33,2,602,802,1410,703.9,707.8,,
hospital-1,decideOnceBlocking,8,native,10817277.80,8609819.95,13024735.65,2.27,2,627,835,1444,735.5,738.6,,
hospital-100,decideOnceBlocking,1,native,1267991.00,1236091.32,1299890.68,0.28,2,639,1166,1850,794.3,814.6,,
hospital-100,decideOnceBlocking,2,native,2545567.80,2139163.85,2951971.75,1.78,2,664,1116,1693,802.0,817.2,,
hospital-100,decideOnceBlocking,4,native,4875449.35,3260080.30,6490818.40,3.69,2,682,1124,1630,823.4,834.1,,
hospital-100,decideOnceBlocking,8,native,9112581.90,7073895.31,11151268.49,2.49,2,721,1190,1797,880.4,888.8,,
hospital-300,decideOnceBlocking,1,native,968730.30,792335.44,1145125.16,2.03,2,803,1618,2561,1026.5,1061.5,,
hospital-300,decideOnceBlocking,2,native,2013707.35,1142095.44,2885319.26,4.82,2,759,1417,2051,929.8,948.0,,
hospital-300,decideOnceBlocking,4,native,3925888.80,2264283.25,5587494.35,4.71,2,779,1423,2020,953.6,969.4,,
hospital-300,decideOnceBlocking,8,native,7709140.80,5629725.12,9788556.48,3.00,2,777,1393,1972,939.0,950.0,,
hospital-5,decideOnceBlocking,1,native,1661290.25,1646010.65,1676569.85,0.10,2,521,747,1433,610.4,617.5,,
hospital-5,decideOnceBlocking,2,native,3052197.45,2895627.13,3208767.77,0.57,2,569,794,1332,655.8,661.0,,
hospital-5,decideOnceBlocking,4,native,5904375.25,5844094.81,5964655.69,0.11,2,586,819,1140,676.5,680.4,,
hospital-5,decideOnceBlocking,8,native,11107986.35,10710434.03,11505538.67,0.40,2,610,888,1407,726.9,730.2,,
hospital-50,decideOnceBlocking,1,native,1462289.30,1457480.08,1467098.52,0.04,2,594,978,1629,719.5,734.2,,
hospital-50,decideOnceBlocking,2,native,2773456.00,2591936.81,2954975.19,0.73,2,638,975,1540,753.7,763.8,,
hospital-50,decideOnceBlocking,4,native,5204186.65,5144132.38,5264240.92,0.13,2,672,1012,1490,791.1,797.6,,
hospital-50,decideOnceBlocking,8,native,9827246.50,9196384.71,10458108.29,0.71,2,701,1079,1607,834.5,839.4,,
rbac,decideOnceBlocking,1,native,1712413.20,1708267.23,1716559.17,0.03,2,521,613,1432,584.8,590.6,,
rbac,decideOnceBlocking,2,native,3246244.85,3025776.06,3466713.64,0.76,2,555,632,1139,613.9,618.3,,
rbac,decideOnceBlocking,4,native,6160148.40,5903248.33,6417048.47,0.46,2,582,653,1145,646.2,649.7,,
rbac,decideOnceBlocking,8,native,11677580.65,10983941.69,12371219.61,0.66,2,592,685,1182,676.7,679.6,,
