scenario,method,threads,indexing,mean_ops_s,ci_lower_ops_s,ci_upper_ops_s,cov_pct,forks,p50_ns,p90_ns,p99_ns,lat_ci_lower_ns,lat_ci_upper_ns,permit,deny
baseline,decideOnceBlocking,1,?,29872264.90,29424169.39,30320360.41,0.17,2,46,47,79,41.8,106.7,0,1
baseline,decideOnceBlocking,1,?,29853072.71,29664619.35,30041526.07,0.07,2,46,47,78,44.6,95.4,0,1
baseline,decideOnceBlocking,1,?,29896065.20,29607526.30,30184604.10,0.11,2,46,47,78,50.5,76.3,0,1
gdrive-10,decideOnceBlocking,1,?,3036386.62,2965490.57,3107282.67,0.26,2,314,497,943,368.3,417.9,30,470
gdrive-10,decideOnceBlocking,1,?,4147169.62,3968519.07,4325820.17,0.48,2,247,357,585,263.1,294.0,30,470
gdrive-10,decideOnceBlocking,1,?,5553722.14,5289019.57,5818424.71,0.53,2,185,291,519,215.5,283.6,30,470
github-10,decideOnceBlocking,1,?,1422563.41,1096926.80,1748200.02,2.55,2,730,947,1926,755.0,806.9,48,452
github-10,decideOnceBlocking,1,?,1547249.12,1168819.84,1925678.40,2.72,2,591,873,1700,619.2,650.1,48,452
github-10,decideOnceBlocking,1,?,2448165.34,1831171.20,3065159.49,2.81,2,449,601,1120,457.1,487.1,48,452
github-100,decideOnceBlocking,1,?,1071205.16,570821.41,1571588.91,5.20,2,947,1344,2320,1005.1,1040.9,306,194
github-100,decideOnceBlocking,1,?,1153790.92,933600.39,1373981.45,2.12,2,908,1320,2224,923.1,979.8,306,194
github-100,decideOnceBlocking,1,?,1684626.20,1302461.74,2066790.66,2.52,2,614,900,1696,627.9,681.1,306,194
hospital-1,decideOnceBlocking,1,?,872932.10,833150.76,912713.44,0.51,2,1140,1328,2404,1215.4,1266.1,138,362
hospital-1,decideOnceBlocking,1,?,940408.08,856545.30,1024270.86,0.99,2,971,1162,2264,1028.4,1054.6,138,362
hospital-1,decideOnceBlocking,1,?,4155616.77,3978553.89,4332679.64,0.47,2,228,317,556,258.9,286.3,138,362
hospital-100,decideOnceBlocking,1,?,61762.61,60489.03,63036.20,0.23,2,11792,33344,40800,16207.3,16416.4,83,417
hospital-100,decideOnceBlocking,1,?,5114.94,3353.38,6876.50,3.83,2,186112,208128,281088,189834.3,190444.5,83,417
hospital-100,decideOnceBlocking,1,?,3211674.66,2668013.13,3755336.19,1.88,2,274,505,879,330.7,405.6,83,417
hospital-300,decideOnceBlocking,1,?,13712.48,13246.99,14177.96,0.38,2,61120,145920,177152,71965.1,72869.2,83,417
hospital-300,decideOnceBlocking,1,?,1593.80,1437.32,1750.27,1.09,2,578560,704512,876616,595945.5,600415.3,83,417
hospital-300,decideOnceBlocking,1,?,2564287.81,2259554.54,2869021.09,1.32,2,370,733,1374,451.7,474.0,83,417
hospital-5,decideOnceBlocking,1,?,672319.52,596154.49,748484.56,1.26,2,1462,2010,3100,1586.9,1662.9,76,424
hospital-5,decideOnceBlocking,1,?,198566.65,38754.84,358378.47,8.96,2,4560,5408,7632,4749.0,4768.5,76,424
hospital-5,decideOnceBlocking,1,?,4077922.39,3827655.61,4328189.17,0.68,2,236,376,587,270.5,291.3,76,424
hospital-50,decideOnceBlocking,1,?,129793.02,129447.48,130138.55,0.03,2,6624,16336,20384,8858.1,8949.4,82,418
hospital-50,decideOnceBlocking,1,?,11636.67,8724.52,14548.83,2.79,2,83712,95232,124928,85251.0,85500.2,82,418
hospital-50,decideOnceBlocking,1,?,3363960.91,2709107.77,4018814.05,2.17,2,274,435,717,325.3,363.9,82,418
rbac,decideOnceBlocking,1,?,4930749.65,3640094.25,6221405.05,2.91,2,229,251,611,276.4,367.0,6,10
rbac,decideOnceBlocking,1,?,7003897.08,6237143.91,7770650.24,1.22,2,163,184,381,192.2,260.4,6,10
rbac,decideOnceBlocking,1,?,5836614.46,5629622.54,6043606.38,0.39,2,157,165,372,170.7,269.7,6,10
tinytodo-10,decideOnceBlocking,1,?,3796659.52,3660591.29,3932727.76,0.40,2,274,331,664,305.7,350.5,173,327
tinytodo-10,decideOnceBlocking,1,?,5636446.37,4906995.67,6365897.07,1.44,2,181,240,418,209.8,252.5,173,327
tinytodo-10,decideOnceBlocking,1,?,6337507.96,4422112.64,8252903.28,3.36,2,151,206,379,174.4,237.5,173,327
