scenario,method,threads,indexing,mean_ops_s,ci_lower_ops_s,ci_upper_ops_s,cov_pct,forks,p50_ns,p90_ns,p99_ns,lat_ci_lower_ns,lat_ci_upper_ns,permit,deny
baseline,decideOnceBlocking,1,native,9890765.40,9796080.29,9985450.51,0.11,2,100,103,186,113.6,115.0,,
baseline,decideOnceBlocking,1,native,9908758.00,9650769.02,10166746.98,0.29,2,100,103,185,113.8,115.2,,
baseline,decideOnceBlocking,1,native,9890151.85,9769810.15,10010493.55,0.14,2,100,103,186,113.8,115.1,,
gdrive-10,decideOnceBlocking,1,native,1117851.20,1102675.15,1133027.25,0.15,2,803,1119,1927,898.4,907.3,,
gdrive-10,decideOnceBlocking,1,native,1591280.40,1144565.39,2037995.41,3.12,2,552,761,1502,619.3,625.5,,
gdrive-10,decideOnceBlocking,1,native,1711646.20,1698362.08,1724930.32,0.09,2,511,757,1437,586.5,592.5,,
github-10,decideOnceBlocking,1,native,602113.75,569883.08,634344.42,0.60,2,1569,2099,3119,1658.9,1675.3,,
github-10,decideOnceBlocking,1,native,669377.20,662758.64,675995.76,0.11,2,1445,1997,2621,1496.3,1510.1,,
github-10,decideOnceBlocking,1,native,943768.15,936960.91,950575.39,0.08,2,1013,1367,1881,1058.1,1069.3,,
github-100,decideOnceBlocking,1,native,498243.60,493954.05,502533.15,0.10,2,1897,2591,3621,2001.8,2027.2,,
github-100,decideOnceBlocking,1,native,579528.80,576912.63,582144.97,0.05,2,1666,2301,3003,1720.6,1742.5,,
github-100,decideOnceBlocking,1,native,758244.55,754110.65,762378.45,0.06,2,1246,1734,2353,1312.7,1330.7,,
hospital-1,decideOnceBlocking,1,native,421363.95,417831.05,424896.85,0.09,2,2223,2583,4127,2371.1,2394.1,,
hospital-1,decideOnceBlocking,1,native,400280.20,400268.76,400291.64,0.00,2,2317,2607,4123,2495.8,2523.6,,
hospital-1,decideOnceBlocking,1,native,1617607.00,1614045.51,1621168.49,0.02,2,533,704,1459,621.0,627.6,,
hospital-100,decideOnceBlocking,1,native,46079.50,45140.53,47018.47,0.23,2,14847,40799,64159,21270.8,21813.6,,
hospital-100,decideOnceBlocking,1,native,3820.95,3257.44,4384.46,1.64,2,249983,286975,381695,257436.1,259794.6,,
hospital-100,decideOnceBlocking,1,native,1280241.05,1257688.54,1302793.56,0.20,2,634,1158,1851,790.6,813.7,,
hospital-300,decideOnceBlocking,1,native,10892.25,10849.68,10934.82,0.04,2,57631,189567,308991,90186.3,92238.8,,
hospital-300,decideOnceBlocking,1,native,964.25,947.10,981.40,0.20,2,954367,1260543,1812479,1012665.6,1039971.3,,
hospital-300,decideOnceBlocking,1,native,950306.25,879230.79,1021381.71,0.83,2,806,1596,2463,1017.7,1051.5,,
hospital-5,decideOnceBlocking,1,native,332525.70,327612.29,337439.11,0.16,2,2791,3663,5439,3033.2,3069.7,,
hospital-5,decideOnceBlocking,1,native,103364.15,101322.93,105405.37,0.22,2,8879,10143,16255,9635.6,9744.0,,
hospital-5,decideOnceBlocking,1,native,1655674.35,1602571.53,1708777.17,0.36,2,521,748,1433,611.4,618.3,,
hospital-50,decideOnceBlocking,1,native,97917.15,96206.29,99628.01,0.19,2,7223,18447,26959,10180.1,10383.3,,
hospital-50,decideOnceBlocking,1,native,7796.70,7683.62,7909.78,0.16,2,126463,144639,278783,131134.3,133197.2,,
hospital-50,decideOnceBlocking,1,native,1462363.60,1432789.11,1491938.09,0.23,2,594,977,1622,718.3,732.9,,
rbac,decideOnceBlocking,1,native,1352630.25,1250153.18,1455107.32,0.84,2,645,779,1636,738.1,745.2,,
rbac,decideOnceBlocking,1,native,1714044.85,1706180.47,1721909.23,0.05,2,523,616,1443,587.2,593.0,,
rbac,decideOnceBlocking,1,native,1383708.50,1379234.72,1388182.28,0.04,2,638,755,1619,719.6,726.6,,
tinytodo-10,decideOnceBlocking,1,native,1294511.85,1291923.00,1297100.70,0.02,2,689,813,1703,775.8,783.6,,
tinytodo-10,decideOnceBlocking,1,native,1909747.70,1902049.13,1917446.27,0.04,2,482,602,1341,529.5,535.0,,
tinytodo-10,decideOnceBlocking,1,native,1849992.85,1844898.38,1855087.32,0.03,2,488,606,1342,542.9,548.6,,
