scenario,method,threads,indexing,mean_ops_s,ci_lower_ops_s,ci_upper_ops_s,cov_pct,forks,p50_ns,p90_ns,p99_ns,lat_ci_lower_ns,lat_ci_upper_ns,permit,deny
baseline,?,1P/32c,?,101835.45,99689.34,103981.55,0.23,2,0,9920000000,9950000000,0.0,0.0,,
baseline,?,1P/64c,?,100695.20,92958.33,108432.08,0.86,2,0,9900000000,9930000000,0.0,0.0,,
baseline,?,1P/128c,?,101109.29,99543.34,102675.25,0.17,2,0,9900000000,9900000000,0.0,0.0,,
baseline,?,1P/256c,?,100287.18,98898.47,101675.88,0.15,2,0,9890000000,9900000000,0.0,0.0,,
baseline,?,4P/32c,?,331157.87,321652.51,340663.23,0.32,2,0,9730000000,9740000000,0.0,0.0,,
baseline,?,4P/64c,?,340004.17,301925.24,378083.09,1.25,2,0,9740000000,9760000000,0.0,0.0,,
baseline,?,4P/128c,?,341751.94,317337.81,366166.08,0.80,2,0,9720000000,9770000000,0.0,0.0,,
baseline,?,4P/256c,?,339946.17,319518.41,360373.92,0.67,2,0,9720000000,9760000000,0.0,0.0,,
baseline,?,8P/32c,?,532854.74,522172.86,543536.61,0.22,2,0,9510000000,9530000000,0.0,0.0,,
baseline,?,8P/64c,?,580501.89,516016.84,644986.93,1.24,2,0,9540000000,9560000000,0.0,0.0,,
baseline,?,8P/128c,?,602818.74,527079.74,678557.75,1.40,2,0,9570000000,9610000000,0.0,0.0,,
baseline,?,8P/256c,?,616548.60,581931.55,651165.66,0.62,2,0,9560000000,9610000000,0.0,0.0,,
hospital-1,?,1P/32c,?,94036.36,92023.80,96048.93,0.24,2,0,9910000000,9950000000,0.0,0.0,,
hospital-1,?,1P/64c,?,94418.82,93258.13,95579.51,0.14,2,0,9900000000,9910000000,0.0,0.0,,
hospital-1,?,1P/128c,?,93408.71,83488.05,103329.36,1.18,2,0,9900000000,9910000000,0.0,0.0,,
hospital-1,?,1P/256c,?,92938.35,87272.55,98604.14,0.68,2,0,9900000000,9900000000,0.0,0.0,,
hospital-1,?,4P/32c,?,312694.45,309717.11,315671.78,0.11,2,0,9750000000,9760000000,0.0,0.0,,
hospital-1,?,4P/64c,?,320481.46,288097.75,352865.18,1.12,2,0,9750000000,9770000000,0.0,0.0,,
hospital-1,?,4P/128c,?,322859.01,307868.60,337849.42,0.52,2,0,9750000000,9770000000,0.0,0.0,,
hospital-1,?,4P/256c,?,323527.06,301543.71,345510.40,0.76,2,0,9720000000,9760000000,0.0,0.0,,
hospital-1,?,8P/32c,?,506706.52,501022.17,512390.86,0.12,2,0,9540000000,9540000000,0.0,0.0,,
hospital-1,?,8P/64c,?,549814.49,492415.84,607213.15,1.16,2,0,9570000000,9580000000,0.0,0.0,,
hospital-1,?,8P/128c,?,562352.71,416974.91,707730.50,2.88,2,0,9590000000,9630000000,0.0,0.0,,
hospital-1,?,8P/256c,?,576576.05,563234.95,589917.16,0.26,2,0,9620000000,9670000000,0.0,0.0,,
hospital-100,?,1P/32c,?,94386.00,93891.86,94880.14,0.06,2,0,9910000000,9950000000,0.0,0.0,,
hospital-100,?,1P/64c,?,93537.57,91188.16,95886.97,0.28,2,0,9900000000,9940000000,0.0,0.0,,
hospital-100,?,1P/128c,?,93415.35,91686.50,95144.19,0.21,2,0,9900000000,9900000000,0.0,0.0,,
hospital-100,?,1P/256c,?,92691.25,91393.21,93989.29,0.16,2,0,9900000000,9900000000,0.0,0.0,,
hospital-100,?,4P/32c,?,312856.86,310843.98,314869.74,0.07,2,0,9750000000,9760000000,0.0,0.0,,
hospital-100,?,4P/64c,?,317501.91,316672.39,318331.42,0.03,2,0,9760000000,9780000000,0.0,0.0,,
hospital-100,?,4P/128c,?,321207.58,296070.10,346345.07,0.87,2,0,9760000000,9790000000,0.0,0.0,,
hospital-100,?,4P/256c,?,319964.92,309901.26,330028.58,0.35,2,0,9730000000,9780000000,0.0,0.0,,
hospital-100,?,8P/32c,?,504686.91,501811.35,507562.46,0.06,2,0,9540000000,9540000000,0.0,0.0,,
hospital-100,?,8P/64c,?,547951.72,507293.47,588609.96,0.83,2,0,9580000000,9600000000,0.0,0.0,,
hospital-100,?,8P/128c,?,557511.99,373409.55,741614.43,3.68,2,0,9580000000,9600000000,0.0,0.0,,
hospital-100,?,8P/256c,?,571197.21,561171.41,581223.01,0.20,2,0,9570000000,9630000000,0.0,0.0,,
hospital-300,?,1P/32c,?,86602.23,75364.59,97839.86,1.44,2,0,9920000000,9950000000,0.0,0.0,,
hospital-300,?,1P/64c,?,85794.83,79511.02,92078.65,0.82,2,0,9910000000,9940000000,0.0,0.0,,
hospital-300,?,1P/128c,?,85838.62,85715.31,85961.94,0.02,2,0,9910000000,9910000000,0.0,0.0,,
hospital-300,?,1P/256c,?,85264.51,83266.55,87262.46,0.26,2,0,9900000000,9910000000,0.0,0.0,,
hospital-300,?,4P/32c,?,307020.96,289130.15,324911.77,0.65,2,0,9760000000,9760000000,0.0,0.0,,
hospital-300,?,4P/64c,?,311528.02,286864.53,336191.51,0.88,2,0,9770000000,9800000000,0.0,0.0,,
hospital-300,?,4P/128c,?,314279.70,292731.34,335828.06,0.76,2,0,9760000000,9790000000,0.0,0.0,,
hospital-300,?,4P/256c,?,315220.58,292207.41,338233.76,0.81,2,0,9730000000,9800000000,0.0,0.0,,
hospital-300,?,8P/32c,?,495559.23,480680.83,510437.64,0.33,2,0,9540000000,9550000000,0.0,0.0,,
hospital-300,?,8P/64c,?,533352.97,483179.77,583526.17,1.05,2,0,9580000000,9590000000,0.0,0.0,,
hospital-300,?,8P/128c,?,546521.68,395000.98,698042.38,3.09,2,0,9600000000,9630000000,0.0,0.0,,
hospital-300,?,8P/256c,?,558224.37,540509.66,575939.08,0.35,2,0,9590000000,9640000000,0.0,0.0,,
rbac,?,1P/32c,?,95713.21,88998.72,102427.70,0.78,2,0,9920000000,9950000000,0.0,0.0,,
rbac,?,1P/64c,?,96658.46,92447.18,100869.74,0.48,2,0,9900000000,9930000000,0.0,0.0,,
rbac,?,1P/128c,?,96068.30,91314.29,100822.32,0.55,2,0,9900000000,9900000000,0.0,0.0,,
rbac,?,1P/256c,?,95669.57,94090.03,97249.12,0.18,2,0,9900000000,9900000000,0.0,0.0,,
rbac,?,4P/32c,?,322162.87,316901.82,327423.92,0.18,2,0,9740000000,9750000000,0.0,0.0,,
rbac,?,4P/64c,?,329869.64,287654.39,372084.88,1.42,2,0,9740000000,9760000000,0.0,0.0,,
rbac,?,4P/128c,?,331954.02,305563.08,358344.95,0.88,2,0,9750000000,9800000000,0.0,0.0,,
rbac,?,4P/256c,?,324696.65,229731.18,419662.11,3.26,2,0,9750000000,9780000000,0.0,0.0,,
rbac,?,8P/32c,?,512900.52,502182.43,523618.60,0.23,2,0,9540000000,9540000000,0.0,0.0,,
rbac,?,8P/64c,?,559348.31,504524.97,614171.65,1.09,2,0,9550000000,9570000000,0.0,0.0,,
rbac,?,8P/128c,?,577088.48,478901.34,675275.62,1.89,2,0,9580000000,9610000000,0.0,0.0,,
rbac,?,8P/256c,?,579485.42,474331.77,684639.06,2.02,2,0,9560000000,9630000000,0.0,0.0,,
