scenario,method,threads,indexing,mean_ops_s,ci_lower_ops_s,ci_upper_ops_s,cov_pct,forks,p50_ns,p90_ns,p99_ns,lat_ci_lower_ns,lat_ci_upper_ns,permit,deny
baseline,?,1P/32c,?,44954.81,43086.39,46823.23,0.46,2,0,9960000000,9970000000,0.0,0.0,,
baseline,?,1P/64c,?,44856.64,43434.33,46278.95,0.35,2,0,9950000000,9970000000,0.0,0.0,,
baseline,?,1P/128c,?,44592.58,44157.53,45027.63,0.11,2,0,9960000000,9970000000,0.0,0.0,,
baseline,?,1P/256c,?,44383.68,42490.16,46277.19,0.47,2,0,9950000000,9960000000,0.0,0.0,,
baseline,?,4P/32c,?,173016.75,166203.28,179830.22,0.44,2,0,9870000000,9880000000,0.0,0.0,,
baseline,?,4P/64c,?,173258.98,171508.79,175009.16,0.11,2,0,9870000000,9890000000,0.0,0.0,,
baseline,?,4P/128c,?,172665.09,164313.18,181017.00,0.54,2,0,9850000000,9870000000,0.0,0.0,,
baseline,?,4P/256c,?,172493.32,171335.04,173651.60,0.07,2,0,9840000000,9850000000,0.0,0.0,,
baseline,?,8P/32c,?,308430.43,276651.14,340209.73,1.15,2,0,9730000000,9740000000,0.0,0.0,,
baseline,?,8P/64c,?,272716.80,269170.17,276263.43,0.14,2,0,9790000000,9800000000,0.0,0.0,,
baseline,?,8P/128c,?,261663.02,239085.91,284240.12,0.96,2,0,9780000000,9830000000,0.0,0.0,,
baseline,?,8P/256c,?,257688.62,247220.22,268157.03,0.45,2,0,9760000000,9810000000,0.0,0.0,,
hospital-1,?,1P/32c,?,41562.09,37821.57,45302.61,1.00,2,0,9970000000,9970000000,0.0,0.0,,
hospital-1,?,1P/64c,?,41329.84,41035.44,41624.24,0.08,2,0,9970000000,9980000000,0.0,0.0,,
hospital-1,?,1P/128c,?,41071.86,40308.10,41835.62,0.21,2,0,9960000000,9980000000,0.0,0.0,,
hospital-1,?,1P/256c,?,40829.05,39108.02,42550.08,0.47,2,0,9950000000,9980000000,0.0,0.0,,
hospital-1,?,4P/32c,?,157920.94,150393.02,165448.86,0.53,2,0,9900000000,9900000000,0.0,0.0,,
hospital-1,?,4P/64c,?,158228.15,157595.83,158860.46,0.04,2,0,9870000000,9890000000,0.0,0.0,,
hospital-1,?,4P/128c,?,158573.83,158367.99,158779.67,0.01,2,0,9870000000,9880000000,0.0,0.0,,
hospital-1,?,4P/256c,?,157970.20,156981.86,158958.53,0.07,2,0,9850000000,9870000000,0.0,0.0,,
hospital-1,?,8P/32c,?,259307.89,238560.70,280055.07,0.89,2,0,9770000000,9780000000,0.0,0.0,,
hospital-1,?,8P/64c,?,244082.49,212630.18,275534.80,1.43,2,0,9810000000,9820000000,0.0,0.0,,
hospital-1,?,8P/128c,?,233430.64,199317.63,267543.64,1.63,2,0,9820000000,9840000000,0.0,0.0,,
hospital-1,?,8P/256c,?,229167.87,206038.50,252297.24,1.12,2,0,9800000000,9830000000,0.0,0.0,,
hospital-100,?,1P/32c,?,40791.77,36600.13,44983.42,1.14,2,0,9970000000,9970000000,0.0,0.0,,
hospital-100,?,1P/64c,?,40010.69,38783.54,41237.84,0.34,2,0,9960000000,9970000000,0.0,0.0,,
hospital-100,?,1P/128c,?,39858.13,38534.04,41182.22,0.37,2,0,9960000000,9970000000,0.0,0.0,,
hospital-100,?,1P/256c,?,39535.97,39313.23,39758.71,0.06,2,0,9950000000,9950000000,0.0,0.0,,
hospital-100,?,4P/32c,?,154936.27,147375.18,162497.36,0.54,2,0,9890000000,9900000000,0.0,0.0,,
hospital-100,?,4P/64c,?,155869.23,150575.59,161162.86,0.38,2,0,9870000000,9890000000,0.0,0.0,,
hospital-100,?,4P/128c,?,155717.55,142442.77,168992.34,0.95,2,0,9880000000,9890000000,0.0,0.0,,
hospital-100,?,4P/256c,?,155060.32,144462.25,165658.39,0.76,2,0,9850000000,9870000000,0.0,0.0,,
hospital-100,?,8P/32c,?,266580.59,217706.65,315454.54,2.04,2,0,9770000000,9780000000,0.0,0.0,,
hospital-100,?,8P/64c,?,251293.19,247536.03,255050.35,0.17,2,0,9800000000,9810000000,0.0,0.0,,
hospital-100,?,8P/128c,?,244281.39,241061.31,247501.47,0.15,2,0,9810000000,9840000000,0.0,0.0,,
hospital-100,?,8P/256c,?,246552.90,216310.39,276795.40,1.37,2,0,9830000000,9860000000,0.0,0.0,,
hospital-300,?,1P/32c,?,38077.04,36766.61,39387.48,0.38,2,0,9980000000,9980000000,0.0,0.0,,
hospital-300,?,1P/64c,?,38617.99,37997.49,39238.48,0.18,2,0,9970000000,9980000000,0.0,0.0,,
hospital-300,?,1P/128c,?,38428.81,37089.02,39768.59,0.39,2,0,9960000000,9970000000,0.0,0.0,,
hospital-300,?,1P/256c,?,38101.19,37719.82,38482.57,0.11,2,0,9950000000,9960000000,0.0,0.0,,
hospital-300,?,4P/32c,?,151889.09,133923.95,169854.23,1.32,2,0,9880000000,9880000000,0.0,0.0,,
hospital-300,?,4P/64c,?,154331.02,147145.90,161516.14,0.52,2,0,9870000000,9900000000,0.0,0.0,,
hospital-300,?,4P/128c,?,155497.11,148437.40,162556.82,0.51,2,0,9870000000,9890000000,0.0,0.0,,
hospital-300,?,4P/256c,?,154195.80,145892.24,162499.37,0.60,2,0,9860000000,9880000000,0.0,0.0,,
hospital-300,?,8P/32c,?,252458.13,179822.63,325093.63,3.20,2,0,9770000000,9790000000,0.0,0.0,,
hospital-300,?,8P/64c,?,244039.26,238878.27,249200.24,0.24,2,0,9810000000,9830000000,0.0,0.0,,
hospital-300,?,8P/128c,?,238478.79,235943.05,241014.53,0.12,2,0,9810000000,9830000000,0.0,0.0,,
hospital-300,?,8P/256c,?,236149.52,208267.53,264031.50,1.31,2,0,9790000000,9810000000,0.0,0.0,,
rbac,?,1P/32c,?,42365.39,39321.54,45409.24,0.80,2,0,9960000000,9980000000,0.0,0.0,,
rbac,?,1P/64c,?,41982.33,40865.85,43098.81,0.30,2,0,9950000000,9960000000,0.0,0.0,,
rbac,?,1P/128c,?,41508.46,39522.26,43494.66,0.53,2,0,9960000000,9970000000,0.0,0.0,,
rbac,?,1P/256c,?,41225.12,38515.95,43934.29,0.73,2,0,9940000000,9980000000,0.0,0.0,,
rbac,?,4P/32c,?,162401.66,155759.40,169043.91,0.46,2,0,9880000000,9890000000,0.0,0.0,,
rbac,?,4P/64c,?,161884.60,155500.91,168268.28,0.44,2,0,9860000000,9890000000,0.0,0.0,,
rbac,?,4P/128c,?,161600.91,160121.42,163080.40,0.10,2,0,9850000000,9880000000,0.0,0.0,,
rbac,?,4P/256c,?,161916.23,159128.86,164703.61,0.19,2,0,9830000000,9890000000,0.0,0.0,,
rbac,?,8P/32c,?,276969.20,257876.84,296061.55,0.77,2,0,9760000000,9770000000,0.0,0.0,,
rbac,?,8P/64c,?,258065.85,207534.60,308597.10,2.18,2,0,9790000000,9810000000,0.0,0.0,,
