scenario,method,threads,indexing,mean_ops_s,ci_lower_ops_s,ci_upper_ops_s,cov_pct,forks,p50_ns,p90_ns,p99_ns,lat_ci_lower_ns,lat_ci_upper_ns,permit,deny
baseline,?,1P/32c,?,573312.15,562407.54,584216.75,0.21,2,12609743,25479223,40234524,0.0,0.0,,
baseline,?,1P/64c,?,534958.15,531026.79,538889.51,0.08,2,28903380,47127947,69566128,0.0,0.0,,
baseline,?,4P/32c,?,1893050.04,1773058.90,2013041.18,0.71,2,4050558,7296787,11331796,0.0,0.0,,
baseline,?,4P/64c,?,1735885.69,1565912.06,1905859.32,1.09,2,8770206,14342646,22213418,0.0,0.0,,
baseline,?,8P/32c,?,2612398.24,2195051.30,3029745.17,1.78,2,3368096,4471837,6510094,0.0,0.0,,
baseline,?,8P/64c,?,2520076.65,2252646.54,2787506.75,1.18,2,7624667,9050700,11744403,0.0,0.0,,
hospital-1,?,1P/32c,?,358177.38,278523.97,437830.79,2.48,2,12718101,35133198,203490424,0.0,0.0,,
hospital-1,?,1P/64c,?,365503.97,343891.06,387116.88,0.66,2,28336944,73176571,329679463,0.0,0.0,,
hospital-1,?,4P/32c,?,1467721.36,1451329.60,1484113.12,0.12,2,5329175,8895855,14108391,0.0,0.0,,
hospital-1,?,4P/64c,?,1438962.91,1401432.94,1476492.88,0.29,2,10884950,16856186,32381128,0.0,0.0,,
hospital-1,?,8P/32c,?,2345647.37,2106825.14,2584469.60,1.13,2,3329352,4925109,8009252,0.0,0.0,,
hospital-1,?,8P/64c,?,2280192.16,1985843.95,2574540.37,1.44,2,6433457,12816252,15979483,0.0,0.0,,
hospital-100,?,1P/32c,?,369604.73,363695.87,375513.60,0.18,2,14679093,42025094,114961690,0.0,0.0,,
hospital-100,?,1P/64c,?,364431.54,362439.55,366423.52,0.06,2,36988974,76477452,141859732,0.0,0.0,,
hospital-100,?,4P/32c,?,1436049.22,1383527.57,1488570.87,0.41,2,5451268,9093360,14293568,0.0,0.0,,
hospital-100,?,4P/64c,?,1399787.04,1379958.06,1419616.02,0.16,2,11142517,17127531,30295235,0.0,0.0,,
hospital-100,?,8P/32c,?,2338269.34,2244374.54,2432164.14,0.45,2,3358663,5092056,8434649,0.0,0.0,,
hospital-100,?,8P/64c,?,2255899.63,2173927.32,2337871.95,0.40,2,6706765,12775816,16917187,0.0,0.0,,
hospital-300,?,1P/32c,?,347231.30,237270.97,457191.62,3.52,2,16561174,42582279,120814504,0.0,0.0,,
hospital-300,?,1P/64c,?,352617.96,344340.38,360895.54,0.26,2,40653485,78623294,130996204,0.0,0.0,,
hospital-300,?,4P/32c,?,1373578.06,1316199.87,1430956.26,0.46,2,5629002,9510260,14733008,0.0,0.0,,
hospital-300,?,4P/64c,?,1354350.84,1294204.90,1414496.79,0.49,2,11276536,18092592,30429867,0.0,0.0,,
hospital-300,?,8P/32c,?,2285471.87,1638423.83,2932519.90,3.15,2,3367679,5123579,8465742,0.0,0.0,,
hospital-300,?,8P/64c,?,2222787.30,1494357.78,2951216.82,3.65,2,7277560,14200145,17895689,0.0,0.0,,
rbac,?,1P/32c,?,417291.67,348605.00,485978.33,1.83,2,15387492,34949667,71084026,0.0,0.0,,
rbac,?,1P/64c,?,413257.55,386421.33,440093.77,0.72,2,36111686,65510345,95946882,0.0,0.0,,
rbac,?,4P/32c,?,1521783.00,1412278.37,1631287.63,0.80,2,5156568,8528454,13506048,0.0,0.0,,
rbac,?,4P/64c,?,1381906.04,1365913.51,1397898.57,0.13,2,11131596,18084646,28802718,0.0,0.0,,
rbac,?,8P/32c,?,2440211.41,2243688.53,2636734.28,0.90,2,3319735,4749584,7625768,0.0,0.0,,
rbac,?,8P/64c,?,2336406.58,2330837.03,2341976.13,0.03,2,7985792,9826817,13247593,0.0,0.0,,
